Dataset,K,Model,Method,Epsilon,Alpha,AccuracyMean,AccuracyStd,UnfairnessMean,UnfairnessStd,RuntimeMean,RuntimeStd,Repetitions,OptimizerSuccessRate
DRUG,4,RF,Our Eps-Fair,0.4,,0.46419098143236076,,0.2540169193209561,,0.0018764999986160547,,1,1.0
DRUG,4,RF,Our Eps-Fair,0.5,,0.46419098143236076,,0.2540169193209561,,0.001995400001760572,,1,1.0
DRUG,4,RF,Unfair,,,0.46419098143236076,,0.2540169193209561,,0.0,,1,1.0
DRUG,4,reglog,Fair-transport,,0.0,0.44297082228116713,,0.055754272412422645,,0.12850559999787947,,1,1.0
DRUG,4,reglog,FairProjection,,0.0,,,,,,,1,0.0
DRUG,4,reglog,FairProjection,,0.1,,,,,,,1,0.0
DRUG,4,reglog,FairProjection,,0.2,,,,,,,1,0.0
DRUG,4,reglog,FairProjection,,0.5,,,,,,,1,0.0
DRUG,4,reglog,FairProjection,,0.75,,,,,,,1,0.0
DRUG,4,reglog,Our Eps-Fair,0.0,,0.4509283819628647,,0.09172202350536535,,0.057400800000323215,,1,1.0
DRUG,4,reglog,Our Eps-Fair,0.1,,0.47745358090185674,,0.15863282802475442,,0.0562632000001031,,1,1.0
DRUG,4,reglog,Our Eps-Fair,0.2,,0.4907161803713528,,0.21501163913018795,,0.03917830000136746,,1,1.0
DRUG,4,reglog,Our Eps-Fair,0.3,,0.4880636604774536,,0.3346107988417646,,0.024970600003143772,,1,1.0
DRUG,4,reglog,Our Eps-Fair,0.4,,0.48010610079575594,,0.3657241810026685,,0.002708700001676334,,1,1.0
DRUG,4,reglog,Our Eps-Fair,0.5,,0.48010610079575594,,0.3657241810026685,,0.0023920999992697034,,1,1.0
DRUG,4,reglog,Unfair,,,0.48010610079575594,,0.3657241810026685,,0.0,,1,1.0
